condition|pulmonary|transplant|year_verification
metastatic pancreatic ductal adenocarcinoma|N|N|New only
metastatic tumors|N|N|New only
mhealth|N|N|New only
mild dementia|N|N|New only
mitral valve disease|N|N|New only
mixed phenotype acute leukemia|N|N|New only
motor deficit|N|N|New only
mucopolysaccharidosis|N|N|New only
multidrug resistant tuberculosis|N|N|New only
multiple sclerosis (ms)|N|N|New only
muscle soreness|N|N|New only
nail psoriasis|N|N|New only
nasal polyposis|N|N|New only
neck cancer|N|N|New only
neonatal respiratory failure|Y|N|New only
neurotoxicity syndrome|N|N|New only
non muscle invasive bladder cancer|N|N|New only
non st elevation myocardial infarction|N|N|New only
non st segment elevation acute coronary syndrome|N|N|New only
non-cystic fibrosis bronchiectasis|Y|N|New only
non-hodgkin lymphoma (nhl)|N|N|New only
non-infectious uveitis|N|N|New only
normal healthy volunteers|N|N|New only
normal hepatic function|N|N|New only
normal tension glaucoma|N|N|New only
nutritional intervention|N|N|New only
oligoastrocytoma|N|N|New only
open abdomen|N|N|New only
opioid use disorders|N|N|New only
oral cavity cancer|N|N|New only
other solid tumors|N|N|New only
ovarian neoplasm|N|N|New only
oxytocin|N|N|New only
pad|N|N|New only
pancreatic acinar cell carcinoma|N|N|New only
pancreatic carcinoma non-resectable|N|N|New only
parkinsonism|N|N|New only
partial seizures|N|N|New only
pdd|N|N|New only
percutaneous transluminal coronary angioplasty|N|N|New only
peripheral t cell lymphoma|N|N|New only
persistent pulmonary hypertension of the newborn|Y|N|New only
placebo effect|N|N|New only
plasmodium vivax|N|N|New only
platelet aggregation inhibitors|N|N|New only
platelet reactivity|N|N|New only
pneumococcal pneumonia|Y|N|New only
polyarthritis|N|N|New only
polycystic liver disease|N|N|New only
poor performance status|N|N|New only
poor quality sleep|N|N|New only
port wine stain|N|N|Both
post partum hemorrhage|N|N|New only
post-polio syndrome|N|N|New only
postoperative blood loss|N|N|New only
postoperative confusion|N|N|New only
postoperative infection|N|N|New only
postprandial lipemia|N|N|Both
pre diabetes|N|N|New only
pregnancy induced hypertension|N|N|New only
premature infant|N|N|New only
prevention & control|N|N|New only
primary central nervous system non-hodgkin lymphoma|N|N|New only
primary immune deficiency|N|N|Both
primary prevention|N|N|New only
prostate cancer recurrent|N|N|New only
prostatic hypertrophy, benign|N|N|New only
psychosocial problem|N|N|New only
pulmonary hypoplasia|Y|N|New only
quality improvement|N|N|New only
radius fracture|N|N|New only
recurrent adenoid cystic carcinoma of the oral cavity|N|N|New only
recurrent childhood anaplastic oligodendroglioma|N|N|New only
recurrent childhood glioblastoma|N|N|New only
recurrent childhood soft tissue sarcoma|N|N|New only
recurrent endometrial cancer|N|N|New only
recurrent hypopharyngeal squamous cell carcinoma|N|N|New only
recurrent kaposi sarcoma|N|N|New only
recurrent malignant mesothelioma|N|N|New only
recurrent mucoepidermoid carcinoma of the oral cavity|N|N|New only
recurrent mycosis fungoides and sezary syndrome|N|N|New only
recurrent uterine corpus sarcoma|N|N|New only
recurrent uveal melanoma|N|N|New only
refractory angina|N|N|New only
refractory chronic cough|Y|N|New only
refractory mature t-cell and nk-cell non-hodgkin lymphoma|N|N|New only
refractory non-hodgkin lymphoma|N|N|New only
replacement|N|N|New only
retinopathy|N|N|New only
sacroiliac joint pain|N|N|New only
schizo-affective disorder|N|N|New only
schizoaffective disorders|N|N|New only
second hand tobacco smoke|N|N|New only
secondary malignant neoplasm of liver|N|N|New only
sedentary behavior|N|N|New only
seizure disorder|N|N|New only
severe malnutrition|N|N|New only
sexual assault|N|N|New only
shoulder impingement|N|N|New only
simulation|N|N|New only
simulation training|N|N|New only
skin wrinkling|N|N|New only
sly syndrome|N|N|New only
snake bite|N|N|Both
squamous cell carcinoma, head and neck|N|N|New only
st elevation acute myocardial infarction|N|N|New only
stage i adult t-cell leukemia/lymphoma|N|N|New only
stage i rectal cancer|N|N|New only
stage i squamous cell carcinoma of the larynx|N|N|New only
stage i verrucous carcinoma of the larynx|N|N|New only
stage ia mycosis fungoides/sezary syndrome|N|N|New only
stage ia non-small cell lung carcinoma|N|N|New only
stage ia uterine corpus cancer|N|N|New only
stage ib mycosis fungoides/sezary syndrome|N|N|New only
stage ib uterine corpus cancer|N|N|New only
stage ii adult t-cell leukemia/lymphoma|N|N|New only
stage ii bladder cancer|N|N|New only
stage ii prostate cancer|N|N|Both
stage ii squamous cell carcinoma of the hypopharynx|N|N|New only
stage ii squamous cell carcinoma of the larynx|N|N|New only
stage ii verrucous carcinoma of the larynx|N|N|New only
stage iia mycosis fungoides/sezary syndrome|N|N|New only
stage iii ovarian germ cell tumor|N|N|New only
stage iii skin melanoma|N|N|New only
stage iii squamous cell carcinoma of the paranasal sinus and nasal cavity|N|N|New only
stage iii uterine sarcoma|N|N|New only
stage iiia esophageal cancer|N|N|New only
stage iiia gallbladder cancer|N|N|New only
stage iiib gallbladder cancer|N|N|New only
stage iv urethral cancer|N|N|New only
stage iva colorectal cancer ajcc v7|N|N|New only
stage ivb colorectal cancer ajcc v7|N|N|New only
stage ivc oropharyngeal squamous cell carcinoma|N|N|New only
steatosis|N|N|New only
stent thrombosis|N|N|Both
sterility|N|N|New only
subjective tinnitus|N|N|Both
substance abuse problem|N|N|New only
superficial basal cell carcinoma|N|N|New only
swallowing disorders|N|N|New only
systemic juvenile idiopathic arthritis|N|N|New only
therapeutic uses|N|N|New only
thoracoabdominal aortic aneurysm|N|N|New only
thrombocytopaenia|N|N|New only
thyroid nodules|N|N|New only
tick-borne encephalitis|N|N|New only
tissue and organ procurement|Y|Y|New only
tobacco|N|N|New only
training|N|N|New only
treatment as usual|N|N|New only
tumors, breast|N|N|New only
ultrasound|N|N|New only
uncomplicated falciparum malaria|N|N|New only
unresectable|N|N|New only
unresectable hepatocellular carcinoma|N|N|New only
urethral cancer|N|N|Both
vascular inflammation|N|N|New only
vascular surgery|N|N|Both
ventricular arrhythmia|N|N|New only
vertebral compression fractures|N|N|New only
video-assisted thoracoscopic surgery|N|N|New only
violence, non-accidental|N|N|New only
vitreomacular adhesion|N|N|New only
vulvar intraepithelial neoplasia|N|N|New only
abdominal fat|N|N|New only
abdominal obesity metabolic syndrome|N|N|New only
ablation|N|N|New only
achromatopsia|N|N|New only
acid reflux|N|N|New only
active ulcerative colitis|N|N|New only
acute alcoholic hepatitis|N|N|New only
acute brain injuries|N|N|New only
acute brain injury|N|N|New only
acute cerebrovascular accident|N|N|New only
acute gastritis|N|N|New only
acute gout|N|N|Both
acute gouty arthritis|N|N|New only
acute graft rejection|Y|Y|New only
acute graft-versus-host disease|Y|Y|New only
acute gvh disease|N|N|New only
acute intermittent porphyria|N|N|New only
acute leukaemia|N|N|New only
acute leukemias of ambiguous lineage|N|N|New only
acute lung injury (ali)|Y|N|New only
acute lymphocytic leukemia (all)|N|N|New only
acute myeloblastic leukemia|N|N|New only
acute myocardial infarction: rehabilitation phase|N|N|New only
acute renal injury|N|N|New only
acute rhinosinusitis|N|N|New only
acute schizophrenia|N|N|New only
acute urticaria|N|N|New only
adenotonsillectomy|N|N|New only
adipose tissue|N|N|New only
adolescents|N|N|New only
adult acute basophilic leukemia|N|N|New only
adult acute eosinophilic leukemia|N|N|New only
adult acute myeloid leukemia|N|N|New only
adult acute myeloid leukemia with t(8;21)(q22;q22); runx1-runx1t1|N|N|New only
adult acute myeloid leukemia with t(8;21); (q22; q22.1); runx1-runx1t1|N|N|New only
adult acute myeloid leukemia with t(9;11)(p22.3;q23.3); mllt3-kmt2a|N|N|New only
adult ependymoblastoma|N|N|New only
adult fibrosarcoma|N|N|New only
adult lymphoblastic lymphoma|N|N|New only
adult myelodysplastic syndrome|N|N|New only
adult papillary meningioma|N|N|New only
adult pilocytic astrocytoma|N|N|New only
adult primary cholangiocellular carcinoma|N|N|New only
adult solid tumor|N|N|New only
adult subependymal giant cell astrocytoma|N|N|New only
advanced gastrointestinal cancer|N|N|New only
advanced non small cell lung cancer|N|N|New only
advanced nonhematologic malignancies|N|N|New only
advanced or metastatic breast cancer|N|N|New only
advanced solid cancers|N|N|New only
advanced/metastatic solid tumors|N|N|New only
adverse effect|N|N|New only
affective disorders|N|N|New only
aggressive behavior|N|N|New only
alcohol intoxication|N|N|New only
alpha1-antitrypsin deficiency|Y|N|New only
alzheimer dementia|N|N|New only
alzheimer's type dementia|N|N|New only
ampullary cancer|N|N|New only
anal squamous cell carcinoma|N|N|New only
analgesics, opioid|N|N|New only
anaplastic large-cell lymphoma|N|N|New only
anemia of chronic disease|N|N|New only
angiogenesis|N|N|New only
ankle sprains|N|N|New only
anti-infective agents|N|N|New only
antibiotics|N|N|New only
aorto-iliac aneurysms|N|N|New only
aphthous stomatitis|N|N|New only
apical periodontitis|N|N|New only
apoplexy|N|N|New only
apraxia of speech|N|N|New only
arteriovenous malformation|N|N|New only
arthritis, degenerative|N|N|New only
aspiration pneumonia|Y|N|New only
aspirin|N|N|New only
asthmatic|N|N|New only
atherothrombosis|N|N|New only
athlete's foot|N|N|New only
atrophic acne scars|N|N|New only
attention-deficit hyperactivity disorder (adhd)|N|N|New only
atypical chronic myeloid leukemia, bcr-abl negative|N|N|New only
atypical ductal breast hyperplasia|N|N|New only
autoimmune pancreatitis|N|N|New only
autologous stem cell transplantation|N|N|New only
autonomic failure|N|N|New only
b-cell lymphoma, unclassifiable, with features intermediate between diffuse large b-cell lymphoma and burkitt lymphoma|N|N|New only
b-cell malignancies|N|N|New only
bacterial keratitis|N|N|New only
baldness|N|N|New only
behavioral problems|N|N|New only
bile duct carcinoma|N|N|New only
bile duct obstruction|N|N|New only
biphenotypic leukemia|N|N|New only
bipolar|N|N|Both
bipolar affective disorder|N|N|New only
bladder dysfunction|N|N|New only
blastic plasmacytoid dendritic cell neoplasm|N|N|New only
bloating|N|N|New only
bloodloss|N|N|New only
bloodstream infection|Y|N|New only
bone marrow failure syndrome|N|N|New only
bone metabolism|N|N|Both
bone tumor|N|N|New only
bph|N|N|New only
brain aneurysm|N|N|New only
brain function|N|N|New only
breast cancer metastatic|N|N|New only
breast cancer recurrent|N|N|New only
breathlessness|Y|N|New only
bronchopulmonary dysplasia (bpd)|Y|N|New only
bypass complications|N|N|New only
c.delivery; surgery (previous), gynecological|N|N|New only
cancer of cervix|N|N|New only
cannabis use|N|N|New only
cardiac function|N|N|New only
cardiovascular|N|N|New only
carotid artery plaque|N|N|New only
carpal tunnel|N|N|New only
castrate resistant prostate cancer|N|N|New only
catheter related infection|Y|N|New only
central abdominal bulging|N|N|New only
central nervous system metastases|N|N|New only
central obesity|N|N|New only
central precocious puberty|N|N|New only
central sleep apnea|Y|N|New only
cerebral palsy (cp)|N|N|New only
cervical intraepithelial neoplasia grade 2/3|N|N|New only
chikungunya virus infection|N|N|New only
childhood acute monoblastic leukemia (m5a)|N|N|New only
childhood acute monocytic leukemia (m5b)|N|N|New only
childhood b acute lymphoblastic leukemia|N|N|New only
childhood central nervous system germinoma|N|N|New only
childhood ependymoblastoma|N|N|New only
childhood grade iii meningioma|N|N|New only
childhood oligodendroglioma|N|N|New only
childhood solid tumor|N|N|New only
cholangiocarcinoma of the gallbladder|N|N|New only
cholangiocellular carcinoma|N|N|New only
cholesterol|N|N|New only
chronic allograft nephropathy|Y|Y|Both
chronic central serous chorioretinopathy|N|N|New only
chronic daily headache|N|N|New only
chronic diarrhea|N|N|New only
chronic heart failure (chf)|N|N|New only
chronic hepatitis c virus infection|N|N|Both
chronic hypercapnic respiratory failure|Y|N|New only
chronic myeloid leukaemia|N|N|New only
chronic nonspecific low back pain|N|N|New only
chronic prostatitis with chronic pelvic pain syndrome|N|N|New only
chronic stable heart failure|N|N|New only
chronic systolic heart failure|N|N|New only
chronic wound|N|N|New only
clear cell renal carcinoma|N|N|New only
cleft lip and palate|N|N|New only
clinical efficacy|N|N|New only
cmml|N|N|New only
cochlear implant|N|N|New only
colon adenocarcinoma|N|N|New only
colon cancer liver metastasis|N|N|New only
colon cancer screening|N|N|New only
colon cleansing|N|N|New only
colonic adenomas|N|N|New only
colorectal disease|N|N|New only
community-acquired bacterial pneumonia|N|N|New only
compartment syndrome|N|N|New only
complete edentulism|N|N|New only
complication of transplant|Y|Y|New only
complication of ventilation therapy|Y|N|New only
complications of diabetes mellitus|N|N|New only
concussion, mild|N|N|New only
congenital cataract|N|N|New only
constipation - functional|N|N|New only
constipation predominant irritable bowel syndrome|N|N|New only
constipation-predominant irritable bowel syndrome|N|N|New only
contrast induced acute kidney injury|N|N|New only
contrast media|N|N|New only
coping skills|N|N|New only
corneal staining|N|N|New only
coronary artery occlusive disease|N|N|New only
criminogenic thinking|N|N|New only
critical lower limb ischemia|N|N|New only
critically ill patients|Y|N|New only
cryotherapy effect|N|N|New only
current smoker|N|N|New only
cystic fibrosis related diabetes|N|N|New only
dedifferentiated liposarcoma|N|N|New only
deep caries|N|N|New only
deficiency of vitamin d3|N|N|New only
deficiency, vitamin d|N|N|New only
degeneration of lumbar intervertebral disc|N|N|New only
degenerative osteoarthritis|N|N|New only
delayed function of renal transplant|Y|Y|New only
deleterious brca1 gene mutation|N|N|New only
deleterious brca2 gene mutation|N|N|New only
delirium on emergence|N|N|New only
delivery uterine|N|N|New only
dentinal hypersensitivity|N|N|New only
depressive disorder and anxiety disorders|N|N|New only
detrusor overactivity|N|N|Both
diabetes, type 1|N|N|New only
diabetes, type i|N|N|Both
diabetic foot infection|N|N|New only
diabetic macular edema (dme)|N|N|New only
diabetic ulcer|N|N|New only
diamond blackfan anemia|N|N|New only
dietary intervention|N|N|New only
digestive cancer|N|N|New only
disorder of bone density and structure, unspecified|N|N|New only
disorder of glucose regulation|N|N|New only
disorder; heart, functional, postoperative, cardiac surgery|N|N|New only
disuse atrophy|N|N|New only
dopamine beta hydroxylase deficiency|N|N|New only
dose finding study|N|N|New only
drug-induced liver injury|N|N|New only
dupuytren's disease|N|N|New only
dyslipidaemias|N|N|New only
eating behaviour|N|N|New only
edentulous alveolar ridge|N|N|New only
edentulous jaw|N|N|New only
edentulous mouth|N|N|New only
elective surgery|N|N|New only
embryo development|N|N|New only
encephalopathy|N|N|New only
end-stage renal disease (esrd)|N|N|New only
end-stage renal failure|N|N|New only
endometrial mucinous adenocarcinoma|N|N|New only
endometrial polyps|N|N|New only
environmental exposure|N|N|New only
eosinophilic asthma|Y|N|New only
eosinophilic esophagitis (eoe)|N|N|New only
epiphora|N|N|New only
episodic cluster headache|N|N|New only
episodic migraine|N|N|New only
erythema migrans|N|N|New only
erythropoietic protoporphyria|N|N|New only
esophageal|N|N|New only
esophageal squamous cell cancer|N|N|New only
estrogen receptor positive tumor|N|N|New only
ewings sarcoma|N|N|New only
exposure laser|N|N|New only
eyelash hypotrichosis|N|N|New only
failed moderate sedation during procedure|N|N|New only
fall prevention|N|N|New only
fall risk|N|N|New only
falls, accidental|N|N|New only
fear of falling|N|N|New only
flexibility|N|N|New only
food allergies|N|N|New only
food effect|N|N|New only
food insecurity|N|N|New only
frail older adults|N|N|New only
gall stone disease|N|N|New only
gallbladder carcinoma|N|N|New only
gastric adenoma|N|N|New only
gastric neoplasm|N|N|New only
gastroenteropancreatic neuroendocrine tumors|N|N|New only
gastrointestinal carcinoid tumor|N|N|Both
gastrointestinal infections|N|N|New only
gaucher disease, type 1|N|N|Both
genital herpes simplex type 2|N|N|New only
gestational hypertension|N|N|New only
gestational weight gain|N|N|New only
glioblastoma multiforme (gbm)|N|N|New only
glucose homeostasis|N|N|New only
glucose transporter type 1 deficiency syndrome|N|N|New only
growth disorder|N|N|New only
growth hormone treatment|N|N|New only
gynecologic disease|N|N|New only
gynecologic neoplasms|N|N|New only
h1n1 influenza|N|N|New only
hair loss|N|N|New only
hand surgery|N|N|New only
head & neck cancer|N|N|Both
head and neck neoplasm|N|N|New only
head lice infestation|N|N|New only
head neck cancer|N|N|New only
health-related quality of life|N|N|Both
healthy humans|N|N|New only
healthy male volunteer|N|N|New only
healthy people|N|N|New only
healthy smokers|N|N|New only
healthy young adults|N|N|New only
heart attack|N|N|New only
heart decompensation|N|N|New only
heart failure nyha class iii|N|N|New only
heart failure with reduced ejection fraction|N|N|New only
heart rate and rhythm disorders|N|N|New only
heart rate variability|N|N|New only
hematopoietic stem cell transplant|N|N|New only
hemiplegic cerebral palsy|N|N|New only
hemophilia a with inhibitors|N|N|New only
hepatic carcinoma|N|N|New only
hepatic neoplasms|N|N|New only
hepatitis c genotype 1|N|N|New only
her2 positive breast carcinoma|N|N|New only
hereditary hemorrhagic telangiectasia (hht)|N|N|New only
hereditary inclusion body myopathy|N|N|New only
hereditary tyrosinemia, type i|N|N|New only
high cholesterol|N|N|New only
high grade ovarian serous adenocarcinoma|N|N|New only
high-grade glioma|N|N|New only
hip arthritis|N|N|New only
hip dysplasia|N|N|New only
hiv-associated hodgkin lymphoma|N|N|New only
hmg coa reductase inhibitor adverse reaction|N|N|New only
hnscc|N|N|New only
hospital acquired pneumonia|N|N|New only
hpv infection|N|N|New only
human immunodeficiency virus type 1|N|N|New only
humans|N|N|New only
hurler syndrome|N|N|New only
hydroxymethylglutaryl-coa reductase inhibitors|N|N|New only
hyperglycaemia|N|N|New only
hyperglycemia, postprandial|N|N|New only
hypertension, essential|N|N|New only
hypopharyngeal cancer|N|N|New only
icd|N|N|New only
idiopathic gastroparesis|N|N|New only
idiopathic pulmonary fibrosis (ipf)|Y|N|New only
iliac aneurysms|N|N|New only
immediate hypersensitivity|N|N|New only
immunogenicity|N|N|New only
impaired health|N|N|New only
inadequate glycaemic control|N|N|New only
incomplete abortion|N|N|New only
infant malnutrition|N|N|New only
infant morbidity|N|N|New only
infection in solid organ transplant recipients|Y|Y|New only
infections, human immunodeficiency virus and herpesviridae|N|N|New only
infectious keratitis|N|N|New only
infiltrating bladder urothelial carcinoma|N|N|New only
inflammatory breast carcinoma|N|N|New only
inflammatory disease|N|N|New only
informed consent|N|N|New only
innate immune response|N|N|New only
intensive care unit|Y|N|Both
intertrochanteric fracture|N|N|New only
intestinal permeability|N|N|New only
intracranial atherosclerosis|N|N|New only
intrinsic aging of skin|N|N|New only
irritable bowel syndrome with constipation (ibs-c)|N|N|New only
isolated plasmacytoma of bone|N|N|New only
isolated systolic hypertension|N|N|New only
itching|N|N|New only
ivf|N|N|New only
keloids|N|N|New only
kidney neoplasm|N|N|New only
kidney tumor|N|N|New only
knee replacement|N|N|New only
lactic acidosis|N|N|New only
large cell lung carcinoma|N|N|New only
laryngospasm|N|N|New only
learning disability|N|N|New only
left bundle branch block|N|N|New only
left ventricular function systolic dysfunction|N|N|New only
leukemia, lymphocytic, acute|N|N|Both
leukemia, lymphocytic, chronic|N|N|Both
leukemias|N|N|New only
liver resection|N|N|New only
localized unresectable neuroblastoma|N|N|New only
low back pain, recurrent|N|N|New only
low-grade glioma|N|N|New only
lower respiratory tract infections|Y|N|New only
lumbar disc disease|N|N|New only
lumbar radiculopathy|N|N|New only
lung carcinoid tumor|Y|N|New only
lung function|Y|N|New only
lung infection|Y|N|New only
lung inflammation|Y|N|New only
lung transplant rejection|Y|Y|New only
lupus erythematosus|N|N|New only
lymphoblastic leukemia, acute|N|N|New only
lymphocytic leukemia|N|N|New only
lysosomal storage disease|N|N|New only
major trauma|N|N|New only
malignant brain tumor|N|N|New only
malignant glioma of brain|N|N|New only
malignant melanoma stage iv|N|N|New only
malignant neoplasms of digestive organs|N|N|New only
malignant tumors|N|N|New only
malnutrition, child|N|N|New only
maxillary hypoplasia|N|N|New only
mediastinal lymphadenopathy|Y|N|New only
medullary thyroid carcinoma|N|N|New only
meniscectomy|N|N|New only
metastatic carcinoma|N|N|New only
metastatic castrate-resistant prostate cancer|N|N|New only
metastatic clear cell renal cell carcinoma|N|N|New only
metastatic liposarcoma|N|N|New only
metastatic neoplasm|N|N|New only
metastatic renal cancer|N|N|New only
metastatic sarcoma|N|N|New only
metastatic solid tumor|N|N|New only
metastatic triple negative breast cancer|N|N|New only
metastatic uveal melanoma|N|N|New only
methadone|N|N|New only
middle cerebral artery infarction|N|N|New only
mild alzheimer's disease|N|N|Both
mild cognitive impairment, so stated|N|N|New only
mildly hypercholesterolemic subjects|N|N|New only
missed abortion|N|N|New only
mitral stenosis|N|N|New only
mitral valve incompetence|N|N|New only
mixed hyperlipidemia|N|N|New only
mobile applications|N|N|New only
mobile health|N|N|New only
moderate acute malnutrition|N|N|New only
moderate to severe plaque-type psoriasis|N|N|New only
morquio a syndrome|N|N|New only
mountain sickness|N|N|New only
mri|N|N|New only
mrsa|N|N|New only
mrsa infection|N|N|Both
multifocal motor neuropathy|N|N|New only
multiple organ dysfunction syndrome|N|N|New only
muscle function|N|N|New only
muscle protein synthesis|N|N|New only
myelodysplastic syndrome with excess blasts|N|N|New only
myelogenous leukemia, acute|N|N|New only
myeloid leukemia, chronic|N|N|New only
myeloid malignancies|N|N|New only
myelomeningocele|N|N|New only
myeloproliferative neoplasms|N|N|New only
myocardial fibrosis|N|N|New only
myocardial perfusion|N|N|New only
myxofibrosarcoma|N|N|New only
myxovirus infection|N|N|Both
nausea and vomiting, postoperative|N|N|New only
neonatal infection|N|N|New only
neonatal seizures|N|N|New only
neoplasia|N|N|New only
neoplasms, liver|N|N|New only
neoplasms, lung|N|N|New only
neoplasms, prostate|N|N|New only
nerve pain|N|N|New only
neurodevelopmental disorder|N|N|New only
neurogenic orthostatic hypotension|N|N|New only
neurosurgery|N|N|New only
nicotine withdrawal|N|N|New only
nitric oxide|N|N|New only
non-muscle invasive bladder cancer|N|N|New only
non-small cell lung cancer(nsclc)|N|N|New only
nonunion of femoral fractures|N|N|Both
nutrition intervention|N|N|New only
obsessive-compulsive disorder (ocd)|N|N|New only
ocd|N|N|New only
ocular melanoma|N|N|New only
ohss|N|N|New only
onychomycosis of toenails|N|N|New only
opioid addiction|N|N|New only
opioid-induced constipation (oic)|N|N|New only
oral candidiasis|N|N|New only
oral surgery|N|N|New only
osteoarthrosis of the carpometacarpal joint of the thumb|N|N|New only
other diagnoses, comorbidities, and complications|N|N|New only
other preterm infants|N|N|New only
other reconstructive surgery|N|N|New only
ovarian|N|N|New only
ovarian carcinosarcoma|N|N|New only
ovarian germ cell tumor|N|N|New only
ovarian stromal cancer|N|N|New only
over weight|N|N|New only
overactive detrusor|N|N|New only
pain postoperative|N|N|New only
pain, chronic|N|N|New only
pain, neuropathic|N|N|New only
painful neuropathy|N|N|New only
pancreas|N|N|New only
pancreatic cysts|N|N|New only
pancreatic neuroendocrine tumor|N|N|New only
parkinson's|N|N|New only
paroxysmal nocturnal hemoglobinuria (pnh)|N|N|New only
pediatric crohn's disease|N|N|New only
pediatric growth hormone deficiency|N|N|New only
pemphigus vulgaris|N|N|New only
periampullary cancer|N|N|New only
perianal abscess|N|N|New only
perinatal asphyxia|N|N|New only
pharmacokinetics of ym178|N|N|New only
pigmented villonodular synovitis|N|N|New only
pilonidal disease|N|N|New only
placental transfusion|N|N|New only
plasmodium vivax malaria|N|N|New only
poor graft function|Y|Y|New only
post cardiac surgery|N|N|New only
post concussion syndrome|N|N|New only
post partum haemorrhage|N|N|New only
post thrombotic syndrome|N|N|New only
post traumatic stress disorders|N|N|New only
post-menopausal osteoporosis|N|N|Both
post-operative delirium|N|N|New only
post-thrombotic syndrome|N|N|New only
postnatal depression|N|N|New only
postoperative respiratory complications|Y|N|New only
postoperative wound infection|N|N|New only
precocious puberty|N|N|New only
pregnancy complication|N|N|New only
premature; infant, light-for-dates|N|N|New only
preterm|N|N|New only
preterm premature rupture of membranes|N|N|New only
preventive health services|N|N|New only
primary axillary hyperhidrosis|N|N|New only
primary brain tumors|N|N|New only
primary breast cancer|N|N|Both
primary fibromyalgia|N|N|New only
primary immune deficiency disorder|N|N|New only
primary liver cancer|N|N|New only
primary mediastinal b-cell lymphoma|N|N|New only
proliferative vitreoretinopathy|N|N|New only
prostate|N|N|New only
prostate carcinoma metastatic in the bone|N|N|New only
prosthetic joint infection|N|N|New only
provoked vestibulodynia|N|N|New only
psa progression|N|N|New only
pseudomonas aeruginosa infection|N|N|New only
ptosis|N|N|New only
pulmonary cancer|N|N|New only
pulmonary embolus|Y|N|New only
pulmonary function|Y|N|New only
pulmonary metastases|N|N|New only
pulmonary neoplasms|N|N|New only
pulmonary regurgitation|Y|N|New only
pulmonary rehabilitation|Y|N|New only
qt interval, variation in|N|N|New only
quality of health care|N|N|New only
radiation retinopathy|N|N|New only
radiofrequency ablation|N|N|New only
randomized controlled trial|N|N|New only
reading disabilities|N|N|New only
reconstructive surgery|N|N|New only
recruitment|N|N|New only
rectal bleeding|N|N|New only
recurrent adult immunoblastic lymphoma|N|N|New only
recurrent adult non-hodgkin lymphoma|N|N|New only
recurrent aphthous stomatitis|N|N|New only
recurrent burkitt lymphoma|N|N|New only
recurrent central nervous system neoplasm|N|N|New only
recurrent childhood anaplastic astrocytoma|N|N|New only
recurrent childhood anaplastic oligoastrocytoma|N|N|New only
recurrent esophageal cancer|N|N|New only
recurrent gastric carcinoma|N|N|New only
recurrent laryngeal verrucous carcinoma|N|N|New only
recurrent lip and oral cavity squamous cell carcinoma|N|N|New only
recurrent lung carcinoma|N|N|New only
recurrent lymphoepithelioma of the nasopharynx|N|N|New only
recurrent lymphoepithelioma of the oropharynx|N|N|New only
recurrent melanoma of the skin|N|N|New only
recurrent nasal cavity and paranasal sinus squamous cell carcinoma|N|N|New only
recurrent oral cavity verrucous carcinoma|N|N|New only
recurrent pterygium|N|N|New only
recurrent salivary gland carcinoma|N|N|New only
recurrent vaginal cancer|N|N|New only
recurrent wilms tumor and other childhood kidney tumors|N|N|New only
refractory central nervous system neoplasm|N|N|New only
refractory chronic myelogenous leukemia, bcr-abl1 positive|N|N|New only
refractory partial seizures|N|N|Both
refractory schizophrenia|N|N|New only
regional neuroblastoma|N|N|New only
regurgitation|N|N|New only
rejection|Y|Y|New only
relapsed and refractory multiple myeloma|N|N|New only
relapsed/refractory multiple myeloma|N|N|New only
relapsing forms of multiple sclerosis|N|N|New only
relapsing-remitting multiple sclerosis (rrms)|N|N|New only
renal denervation|N|N|New only
renal dysfunction|N|N|New only
renal pelvis cancer|N|N|New only
respiratory complication|Y|N|New only
respiratory muscles|Y|N|New only
rhinovirus|N|N|New only
rotator cuff tears|N|N|New only
rotator cuff tendinitis|N|N|New only
sarcomas|N|N|New only
school readiness|N|N|New only
secondary|N|N|New only
secondhand smoke exposure|N|N|New only
self-esteem|N|N|New only
sentinel lymph node|N|N|New only
severe alcoholic hepatitis|N|N|New only
severe congenital neutropenia|N|N|New only
severe haemophilia a|N|N|New only
severe major depression with psychotic features|N|N|New only
severe mental illness|N|N|New only
severe sepsis with septic shock|Y|N|New only
severe traumatic brain injury|N|N|Both
sevoflurane|N|N|New only
sexual function|N|N|New only
sexual risk behavior|N|N|New only
sexual violence|N|N|New only
short cervix|N|N|New only
sickle cell disorders|N|N|New only
sinus node dysfunction|N|N|New only
skin basal cell carcinoma|N|N|New only
skin disease|N|N|New only
sle|N|N|New only
slow transit constipation|N|N|New only
small intestinal lymphoma|N|N|New only
social determinants of health|N|N|New only
social psychology|N|N|New only
soft tissue injury|N|N|New only
soft tissue sarcomas|N|N|New only
spinal cord injury (sci)|N|N|New only
spinal cord trauma|N|N|New only
spinal deformity|N|N|New only
sporadic inclusion body myositis|N|N|New only
squamous cell carcinoma of oropharynx|N|N|New only
squamous cell carcinoma of the head and neck (scchn)|N|N|New only
squamous cell lung carcinoma|N|N|New only
st segment elevation myocardial infarction|N|N|New only
stage i adenoid cystic carcinoma of the oral cavity|N|N|New only
stage i mucoepidermoid carcinoma of the oral cavity|N|N|New only
stage i mycosis fungoides/sezary syndrome|N|N|New only
stage i oropharyngeal squamous cell carcinoma|N|N|New only
stage i prostate adenocarcinoma|N|N|New only
stage i squamous cell carcinoma of the hypopharynx|N|N|New only
